appliance,start_min,duration_s,mean_flow_ml_s,shape
shower,1100,364.9508498037685,12.457685348570571,trapezoid
bidet,1,26.4568452441234,39.986322028464414,trapezoid
bidet,59,21.428873964036615,9.392735047636997,trapezoid
bidet,763,25.138886416324894,18.724511884291534,trapezoid
washbasin,1334,20.496182883455827,25.045480375211937,step
washbasin,414,14.908293084397254,50.95068765359917,step
washbasin,1146,12.749048062102831,104.99624393578601,step
washbasin,379,17.921972379431267,8.596696772523764,step
washbasin,907,18.084543420386957,7.426787149122366,step
washbasin,425,16.211249239793617,6.0151022525063675,step
washbasin,137,15.819893685201984,96.90098430055946,step
washbasin,1267,17.94574546686842,846.5406798964659,step
washbasin,1340,9.455542536122147,13.696320753929728,step
washbasin,1165,15.36156179636347,55.06385681962748,step
washbasin,448,17.182960480173897,97.61235415138263,step
washbasin,1052,17.619150972041105,40.79601223332439,step
washbasin,927,16.242237867763365,108.66380381248405,step
kitchenfaucet,563,14.85001618652154,404.18777935473366,step
kitchenfaucet,514,8.886510370453554,30.498312996368334,step
kitchenfaucet,1020,9.19871147726385,104.66620343073794,step
kitchenfaucet,506,4.140764687730767,110.47875612368014,step
kitchenfaucet,312,12.451467234331783,28.896905816732517,step
kitchenfaucet,751,9.653856521100483,62.44085910708762,step
kitchenfaucet,914,9.63222501390624,98.76179884800288,step
kitchenfaucet,418,14.114943933998163,57.046160275706626,step
kitchenfaucet,956,11.684228597996462,8.64138444235701,step
kitchenfaucet,439,12.29123264804412,136.35012198047457,step
toilet,651,360.0,16.699999999999996,step
toilet,386,360.0,16.699999999999996,step
toilet,576,360.0,16.699999999999996,step
toilet,478,360.0,16.700000000000003,step
shower,1818,346.762014250351,8.062850050206022,trapezoid
washingmachine,1881,3327.809672639254,13.007233330797925,pulsed
bidet,2636,23.80291985054192,40.23784892353714,trapezoid
bidet,1847,37.33413057251599,29.030990909483876,trapezoid
bidet,2628,23.618940002917356,43.472562118192876,trapezoid
washbasin,1887,15.133632974439209,15.35021373829159,step
washbasin,2473,6.77951228909258,95.15173436333367,step
washbasin,2519,16.766388117817577,28.22590348829652,step
washbasin,2174,11.416723347748404,47.240783624896224,step
washbasin,1838,13.167113162041753,9.025389411684765,step
washbasin,1963,12.54609995207619,13.988742887466747,step
washbasin,2109,10.525274566355904,32.68015380612845,step
washbasin,1786,20.549790520837597,53.89643574169558,step
washbasin,2323,21.176058788951945,20.541191087992868,step
washbasin,1945,12.493492618862744,5.8571288251157325,step
washbasin,2105,17.232754258914085,5.977373170465739,step
washbasin,1805,17.11113463758964,25.650439587234988,step
washbasin,2609,6.45768593321041,35.015220502517536,step
washbasin,2015,11.883937063458609,87.42094626275797,step
kitchenfaucet,2581,12.435612180856374,636.5866008099044,step
kitchenfaucet,1963,16.858836466311935,9.225965424573639,step
kitchenfaucet,2531,13.915870949512932,49.34106149213207,step
kitchenfaucet,1956,9.287050124686775,101.71379267622837,step
kitchenfaucet,1982,12.0323944944291,27.477406946943756,step
kitchenfaucet,1822,10.777619587094204,4.566281711148627,step
kitchenfaucet,2479,12.68898739269942,112.68486382952126,step
kitchenfaucet,2530,8.610879436027146,1046.3079312740033,step
kitchenfaucet,2610,10.186756565604863,43.36801893764934,step
kitchenfaucet,1894,12.268181757436949,44.23356985531638,step
kitchenfaucet,1768,13.059472869667998,55.170202122111,step
toilet,2638,360.0,16.700000000000003,step
toilet,2343,360.0,16.700000000000003,step
shower,3518,758.7621393367224,6.957185064912308,trapezoid
bidet,4218,30.104365735709813,80.19967630027108,trapezoid
bidet,3893,25.24838559944017,34.47683775596033,trapezoid
bidet,4151,27.68511386957866,45.29608339334564,trapezoid
bidet,3260,12.796957043683236,23.011130382858735,trapezoid
washbasin,3247,19.234010390756787,29.91229411253955,step
washbasin,4037,23.21649752084894,49.99599907721667,step
washbasin,3803,13.370639147128816,22.61955710077601,step
washbasin,3216,5.514984600282524,161.15958110995447,step
washbasin,3458,16.547138987415458,3.124127037665058,step
washbasin,3984,15.5448608990289,267.6965105793926,step
washbasin,3463,15.30856495978284,121.28291713654022,step
washbasin,4174,14.908960200405218,16.74720784506787,step
washbasin,3763,8.693173780750392,3.850324730550502,step
kitchenfaucet,3253,14.358524760567608,17.77516024961764,step
kitchenfaucet,3936,11.895945337839656,47.569081326165694,step
kitchenfaucet,3563,10.054344431821889,107.34865775479363,step
kitchenfaucet,3758,18.92916826621856,13.12409496976072,step
kitchenfaucet,3351,11.552432520723844,13.208735617367303,step
kitchenfaucet,4073,12.867505931723453,1149.205795475482,step
kitchenfaucet,3393,10.752397975764646,29.28781586560938,step
kitchenfaucet,4255,10.512092861020587,26.71735938478232,step
kitchenfaucet,4248,19.505094638581326,66.6672361448881,step
kitchenfaucet,3718,16.261512743969565,14.999417301748126,step
kitchenfaucet,3923,11.73867346991283,131.8824501081522,step
kitchenfaucet,3826,11.600825745986795,170.78145042652037,step
kitchenfaucet,3598,13.630497308368026,160.78450400630135,step
kitchenfaucet,3718,9.103147200368545,10.001307499757628,step
toilet,3887,360.0,16.700000000000003,step
toilet,3312,360.0,16.700000000000003,step
shower,4916,787.1825797128757,11.285434430687202,trapezoid
washbasin,4882,9.16538006066289,23.65895265693474,step
washbasin,4633,12.782612943404885,3.039422560076792,step
washbasin,5260,9.162817880025933,19.560475933609816,step
washbasin,5220,12.21742596916133,6.704016004528166,step
washbasin,4842,18.17654628744388,146.92853784280354,step
washbasin,5028,13.246077104471787,294.3045709925801,step
washbasin,5525,14.028591953172363,25.9621965737148,step
washbasin,4741,13.793913239827639,19.02108573736421,step
washbasin,4620,14.509065102113441,9.320160992665024,step
washbasin,5584,15.716016565399935,11.06388228873925,step
washbasin,5299,18.436228780134307,50.389703306109986,step
washbasin,4966,7.044165219791934,47.20198942973136,step
washbasin,5062,11.480745336728067,72.49823568463036,step
washbasin,5329,17.24997827971814,12.266859884100713,step
washbasin,4717,14.28494099713745,43.03996871632246,step
kitchenfaucet,5559,10.793895568964327,50.72611009757036,step
kitchenfaucet,5463,8.770018475467003,88.65383054886117,step
kitchenfaucet,5332,14.517554603148938,459.1071651617517,step
kitchenfaucet,4921,11.807584960221023,54.47531343019629,step
kitchenfaucet,5528,11.214100691044342,16.41897320789681,step
kitchenfaucet,4713,6.945643815538614,8.913509707325279,step
kitchenfaucet,5285,14.369700240113623,19.39713957750206,step
kitchenfaucet,5033,7.978414189852449,180.54024514241928,step
kitchenfaucet,5337,16.783515189674915,10.09426914977843,step
kitchenfaucet,5004,15.190697158158056,851.4254348950755,step
kitchenfaucet,5077,12.50908137705606,12.459934711947719,step
toilet,4525,360.0,16.699999999999996,step
toilet,5022,360.0,16.700000000000003,step
toilet,5405,360.0,16.700000000000003,step
toilet,5060,360.0,16.700000000000003,step
toilet,4734,360.0,16.700000000000003,step
toilet,4863,360.0,16.700000000000003,step
shower,6926,187.36032602292914,68.93154277906824,trapezoid
bidet,5923,29.343736879855467,507.96788724715077,trapezoid
bidet,6809,30.427771942131223,2.7950125622942785,trapezoid
bidet,6004,28.367224952789808,9.437354939801045,trapezoid
bidet,6135,15.27495792016448,2.6962623561939885,trapezoid
washbasin,6187,12.997840870062,5.915073870344596,step
washbasin,6124,18.244938382576425,83.92697827579025,step
washbasin,6209,23.69748577493135,53.35644719843155,step
washbasin,6098,16.11769578790191,112.22302620300778,step
washbasin,6531,10.985271231616492,11.129182213137268,step
washbasin,6260,10.423809835440842,13.715781629365335,step
washbasin,6482,10.862375226847973,2.3785252947655735,step
washbasin,6654,16.68379111282101,17.260587333302094,step
washbasin,6659,13.556842942698278,58.166414354240096,step
washbasin,7061,23.21965258029156,75.79383248013974,step
washbasin,6761,16.002721177769637,48.88653158080836,step
washbasin,6891,12.951524358634135,109.3995120911363,step
washbasin,5906,11.112840313663884,164.1180617254777,step
washbasin,7089,14.15570052243742,42.00863062546488,step
washbasin,6995,11.162177586185077,47.70802367683318,step
washbasin,7005,15.038822324412678,6.6454635878426895,step
washbasin,6324,12.001729045377434,50.70211623521713,step
washbasin,6423,16.904091263668125,35.24984779159408,step
kitchenfaucet,6497,14.177300469489097,17.607018122820048,step
kitchenfaucet,5802,16.59225249703109,195.16577302467192,step
kitchenfaucet,6170,8.00631062185779,50.675123929271905,step
kitchenfaucet,6190,13.937753477381433,243.92898362536428,step
kitchenfaucet,6322,10.309052917720972,18.862163339017254,step
kitchenfaucet,6165,12.907349143080372,13.81869256780012,step
kitchenfaucet,6063,8.176893760861866,83.43294970085964,step
kitchenfaucet,6299,14.848662406323971,4.044183373963139,step
kitchenfaucet,6578,14.631236308051763,89.31180982104223,step
kitchenfaucet,6454,8.489660921821923,2.5667474235808183,step
kitchenfaucet,6936,13.254619838263608,29.38178047657308,step
toilet,6860,360.0,16.700000000000003,step
toilet,6480,360.0,16.700000000000003,step
shower,8594,346.07198687594547,12.125906894320439,trapezoid
shower,8113,748.1281778339549,16.700170143928087,trapezoid
bidet,7512,34.55292766507832,68.74878129792589,trapezoid
bidet,8399,26.43721529901383,9.601059153533052,trapezoid
washbasin,8037,17.17290964825223,39.52529636834779,step
washbasin,7640,14.827947067571554,400.32245246905785,step
washbasin,7220,18.226775581349045,16.186945204187122,step
washbasin,8448,16.133751531612504,4.347197459719539,step
washbasin,8120,10.14915510312263,43.92730248211476,step
washbasin,7521,11.89326461637102,100.22131311234817,step
washbasin,7992,14.64610593736732,29.71280636780391,step
washbasin,8246,14.949807691301103,63.54880099748764,step
kitchenfaucet,7896,12.722259538465705,1417.5901726332136,step
kitchenfaucet,7758,15.0058568033753,45.61937455593104,step
kitchenfaucet,7867,11.248595883024269,33.05668843538442,step
kitchenfaucet,7684,10.934064341646199,81.56032693225968,step
kitchenfaucet,7661,8.119392769219008,159.48591751031515,step
kitchenfaucet,8325,8.412350813894447,64.31816287210195,step
kitchenfaucet,7812,16.916822482032572,1465.9660598676423,step
toilet,8272,360.0,16.699999999999996,step
toilet,7614,360.0,16.699999999999996,step
toilet,7818,360.0,16.70000000000001,step
shower,9789,461.315220597619,31.112165065466172,trapezoid
shower,9578,356.28027023172274,3.6155105168004806,trapezoid
bidet,9101,18.897654554478926,9.814898522114378,trapezoid
bidet,9087,18.31718378779901,2.2991525097577203,trapezoid
washbasin,9035,5.909099023976468,97.17177677501184,step
washbasin,9134,15.25121518959327,61.97879238630853,step
washbasin,9941,16.82759926196394,65.03810651086971,step
washbasin,9576,10.836001810139923,65.9724521623735,step
washbasin,9438,16.151491937138413,28.105980117127405,step
washbasin,10000,11.913307269944701,27.00283178370533,step
washbasin,9632,11.190668178831011,35.58261810067706,step
washbasin,9837,20.39453431692109,42.64145149641282,step
washbasin,9453,14.690070806106792,11.98623643696549,step
washbasin,9320,16.515964481300447,11.207367714845411,step
washbasin,9009,6.139003366718105,9.611827670830833,step
washbasin,9561,18.54184114646699,14.218266115402454,step
washbasin,9058,12.572847607544826,30.70962176259264,step
washbasin,9751,12.341123581257357,17.68904752005471,step
washbasin,9165,16.341090972464603,11.865284820799557,step
washbasin,9013,13.90570774156671,4.888439814494576,step
washbasin,10045,21.85722604899374,388.7470351474524,step
washbasin,9002,15.31255151622466,96.84462288040363,step
kitchenfaucet,9624,9.559936056633248,25.330898705464957,step
kitchenfaucet,9310,12.339811231613293,4.323755959423661,step
kitchenfaucet,9147,9.566360358433355,129.80006953875383,step
kitchenfaucet,9188,14.296170642511301,25.824470292341687,step
kitchenfaucet,9461,18.059513674962766,2.464289661212392,step
kitchenfaucet,9075,10.995674003680378,19.060155729422295,step
kitchenfaucet,9096,14.345397933938735,76.73230856010169,step
kitchenfaucet,9209,9.79258825487151,45.53085587125438,step
kitchenfaucet,9851,9.421979148902068,174.92173306759648,step
kitchenfaucet,10064,8.81281941555936,62.83279166181656,step
kitchenfaucet,9870,9.41423886595253,57.261074273505166,step
toilet,9805,360.0,16.700000000000003,step
toilet,9028,360.0,16.700000000000003,step
shower,10415,1118.0,12.674474904027512,trapezoid
washbasin,10954,13.690062014556759,82.03226361199363,step
washbasin,10978,11.677815015152703,105.36472689886403,step
washbasin,11334,21.41480014718222,149.8526595028791,step
washbasin,10511,15.430164818114882,35.94841872056163,step
washbasin,10399,19.357043634780716,30.547173170056706,step
washbasin,11108,9.294271299778828,45.623750210650954,step
washbasin,11243,17.407239506105817,17.528218336119963,step
washbasin,11385,15.90393178915562,61.621195419277406,step
washbasin,11308,20.15121954436109,189.82141133601507,step
washbasin,11034,13.981783216907315,10.145499658898403,step
washbasin,10664,15.113105897006719,25.606855056067534,step
washbasin,11467,8.437582971679511,15.423047473853511,step
washbasin,10516,15.72977795713966,37.57046713993641,step
washbasin,11358,13.23917932852,25.216841983180956,step
kitchenfaucet,10615,5.7964358206920235,135.1867797413768,step
